안타깝다;tiếc nuối
달라붙다;dính chặt
피를 빨다;hút máu
힘겹다;chật vật
예방 방식;phương thức dự phòng
치료제;thuốc trị liệu
상큼하다;thơm mát
대장암;ung thư đại tràng
기름진 음식;thức ăn đầy chất béo
발병률;tỉ lệ phát bệnh
위암;ung thư dạ dày
치료 효과가 좋다;hiệu quả trị liệu ok
검진하다;kiểm tra, khám bệnh
종합 건강 검진;khám sk tổng quát
주파수;tần số
후각;khứu giác
옷을 개다;gấp áo quần
나무를 가꾸다;chăm sóc cây
먼지가 가라않다;bụi lặn xuống
이대로 가만있다;giữ nguyên trạng thái y z
다른 사람의 의견을 가로막다;chặn ý kiến của người khác
감옥에 갇히다;bị giam
붕대를 갈다;thay băng
벽이 갈라지다;tường bị nứt
얼굴을 감싸다;quấn quanh mặt
죄인을 감싸다;che giấu tội nhân
겁나다;sợ hãi
퉁증을 견디다;chịu cơn đau
압력에 견디다;chịu áp lực
힘겹게 견디다;chịu đựng một cách chật vật
행운이 겹치다;vận hạnh/ may mắn chất chồng
불행에 불행을 겹치다;bất hạnh chồng chất bất hạnh
답을 구하다;tìm đáp án
밥을 굶다;nhịn cơm
굶기를 밥 먹듯 하다;nhịn ăn như cơm bữa
거짓말;lời nói dối
거짓말을 밥 먹듯 하다;nói dối như cơm bữa
허리를 굽히다;cúi gập người xuống
잠이 깨다;đánh thức dậy
결점을 깨닫다;nhận ra khuyết điểm
잘 못을 깨닫다;nhận ra lỗi sai
온도를 낮추다;làm giảm nhiệt độ
쓰레기를 휴지통에 내버리다;vức rác vào thùng rác
매체;phương tiện thông tin
보도;sự đưa tin
유기 동물;động vật bị bỏ rơi
비전 ~ 전망;triển vọng
포용력;năng lực bao dung
유용하다;hữu dụng
향상되다;được nâng cao
개선되다;được cải tiến
검거하다;giam giữ
생태계;hệ sinh thái
무분별;vô phân việt
인지도;độ nhận thức
혁명;cách mạng
창의성;tính sáng tạo, sáng ý
구사하다;thành thạo
수용하다;tiếp nhận
비롯하다;bắt nguồn
숨소리;tiếng thở
내세우다;đưa ra, đề ra
언급하다;đề cập
휩쓸리다;cuốn vào
자극하다;kích thích
차라리;thà rằng
끔찍하다;khủng khiếp
접하다;tiếp xúc
정신;tinh thần
심각하다;trầm trọng
작성;viết
구조;cấu tạo
찌그러지다;méo mó
도장을 찍다;đóng dấu
도장을 지우다;xoá dấu
치우다;dọn dẹp
동기를 부여하다;trao động cơ
보상하다;bồi thường
넘기다;vược qua
손때;dấu vân tay
진하다;đậm
산소;oxi
소외되다;bị xa lánh
수립하다;thành lập
제한 속도를 지키다;giữ tốc độ hạn chế
순위를 매기다;xếp hạng
무덤;mộ
바닥;nền
로비;sảnh
연하다;nhạt
유도하다;dẫn dắt
해파리;sứa
성분;thành phần
열량;nhiệt lượng
내비게이션;navigation
낯설다;lạ lẫm
발목을 삐다;trật cổ chân
말목을 잡다;bắt lấy cổ chân
앞뒤를 재다;đo lường trước sau
결제되다;được thanh toán
목숨;mạng sống
열렬히;một cách nhiệt liệt
결심;quyết tâm
물방울;giọt nước
굴절되다;được khúc xạ
섞다;trộn
그치다 = 몸추다;dừng lại
승강장;chổ lên xuống xe
예선;dự tuyển, sơ tuyển
본선;chung kết
구조되다;được cấu tạo / cứu trợ
흔하다;nhiều
시절;thời đại
분야;lĩnh vực
계기;bước ngoặc
무척;rất, lắm
설문;khảo sát
기존;cái vốn có
맨날;mỗi ngày
게다가;thêm vào đó
간호사;bs điều dưỡng
눈을 뜨다;mở mắt
연하;kém tuổi
연상;hơn tuổi
시급;lương theo giờ
파내다;đào ra
수염;râu
흔들림;sự rung lắc
돌;đá
막연하다;mờ mịt
소문;tin đồn
붙들다;bám vào
안도감;cảm giác an toàn
껑충;tăng
경향;khuynh hướng
암컷 >< 수컷;con cái >< con đực
기린;con hưu cao cổ
바탕;nền tảng
밀접하다;mật thiết
기여하다;đóng góp
감염되다;bị lan nhiễm
입증하다;kiểm chứng
도표;biểu đồ
설득하다;thuyết phục
의료;y tế
의류;y phục
종목;danh mục
뛰어오르다;bắn ra
가로수;cây ven đường
뿌리;gốc rễ
채광;ánh sáng
가리다;chọn, ngại, phân biệt, che
확고하다;vững chắc
척박하다;cắn cỗi
폄하하다;hạ thấp
변방;vùng biên giới
대견하다;đáng khen
엄격하다;nghiêm khắc
서식하다;cư trú
위조하다;nguỵ tạo
채택하다;tuyển chọn
채용하다;tuyển chọn
계승하다;kế thừa
보유하다;bảo lưu
연마하다;rèn dũa
영향력;sức ảnh hưởng
채우다;lắp đầy
태우다;đốt cháy
입술이 터지다;nứt nẻ môi
배가 터지다;no
털다;phủi
먼지를 털다;phủi bụi
눈을 털다;phủi tuyết
토하다;ói
멀미;say xe
물을 틀다;mở nước
땅을 파다;đào đất
해내다;hoàn thành
일을 해내다;hoàn thành công việc
허락하다 = 허용하다 = 수락하다 = 승낙하다;allow
헤매다;đi vòng quanh
손을 흔들다;vẫy tay
마음이 흔들리다;động lòng
힘내다;mạnh mẽ
애쓰다;cố gắng
해바라기 들판;cánh đồng hoa hướng dương
마취하다;gây mê
유연하다;mềm dẻo linh hoạt
가로채가;chặn lại
몰리다;bị dồn
밀리다;bị đẩy
물리다;bị cắn
탐고하다;tham khảo
생성해내다;sinh ra
답변;trả lời
근원;căn nguyên
징후;triệu chứng
그럴 듯하게;
만들어내다;làm ra
획신하다;chắc chắn
판단하다;phán đoán
(명사) + (이)야 말로;quả thật là N
핵심;trọng tâm
차별성;phân biệt giới tính
명백하다;minh bạch
진리;chân lý
참혹하다;thảm khốc
데이터;data
오염된 데이터;data bị hỏng
지지하다;đồng ý
부레 = 거풍 = 풍선;bóng bay
점성 = 점액;chất nhầy
비둘기;chim bồ câu
둥지;tổ chim
꿈쩍하다;nhúc nhích
코끼리;con voi
징그럽다;sởn gai ốc
여우;con cáo
솔솔;thoang thoát, êm ấm
건드리다;chạm
털;lông
지목하다;vạch ra
의지하다 = 의존하다;phụ thuộc
노릇;bổn phận
발자국;dấu vết chân
네깟;nhải ranh
장려하다 = 격려하다 = 권장하다;khích lệ
저명하다;nổi danh
자명하다;biết rằng là
관제;quản chế
암시하다;ám thị
마냥;liên tục
창시자;người sáng tạo
창의성;tính sáng tạo
천연자원;tài nguyên thiên nhiên
소나무;cây thông
하양색;màu trắng
노량색;màu vàng
희소성;tính khang hiếm
제조하다;chế tạo
설치하다;lắp đặt
구비하다;trang bị
쓰러지다;ngã
인원수;số người
엽서;danh thiếp
골고루;đồng đều
강물이 지르다;nước sông dâng
운전대;vô lăng
채널;channel
장단;phách
즉흥적;tính ngẫu hứng
트랙;track
빙판;sân băng
쭉쭉;tăm tắp
뻗다;duỗi ra
재정적;mang tính tài chính
수치;chỉ số
상업화;thương mại hoá
건강세;thuế sk
가공 식품;thực phẩm gia công
푸다;xới
문양;hình dạng
용도;mục đích sd
언덕;đồi
지문;dấu vân tay
노숙자;người vô gia cư
그래피티;tranh phun sơn
벽면;mặt tường
낙서;vẻ bậy
스프레이;bình xịt
페인트;paint
폄하당하다;bị đánh giá
불신;bất tín
지정하다;chỉ định
전수받다;tiếp nhận truyền tải
명맥;yếu tố sống còn
필자;người viết
단절되다;bị ngưng
전방위적;mang tính toàn diện
취지;ý nghĩa
다각화;đa giác hoá
감축하다;rút ngắn
소유자;người sở hữu
반짝;một cách loé lên
파묻다;đào rồi chôn
씌우다;cho đội
물기;hơi nước
촉감;xúc cảm
겹겹;lớp lớp tầng tầng
꽃말;ý nghĩa hoa
쑥쑥;túa lua
무순;bừa bãi
굵어지다;trở nên to lớn
제법;khá, tương đối
싹쓸이;cuốn sạch
구도;bố cục
동작;động tác
도로;đường 
생동감;cảm giác sinh động
연장자;người già
구성원;thành viên
물총;súng nước
열매;quả, thành quả
재배하다;canh tác
병해충;sâu bệnh
생육;sự dưỡng dục
작물;lương thực
해충;sâu bệnh
취약하다;yếu
선비;học giả
서적;sách
논평;luận bình
서지학;ngành học tư liệu
편찬하다;biên soạn
방대하다;to lớn
집필하다;biên soạn
배제하다;bài trừ
분양하다;phân loại
어획량;lượng đánh bắt cá
외면당하다;bị lánh mặt
칠판;cái bảng
반칙;sự vi phạm
반칙하다;vi phạm
판결;phán quyết
얽매이다;bị trói buộc
초고속;cao tốc
필연적;tính tất yếu
둘러싸이다;vây quanh
지중;trong đất
상소문;sớ
노여움;sự giận dữ
노여움을 사다;bị ghéc
노엽다;giận giữ
무릅쓰다;bất chấp bất kể
한참;1 lúc
발풍을 팔다;gây ra cơn sốt
대강;sơ lược
이르다;đạt được
후련하다;nhẹ nhõm
우련하다;mờ mịt
건국;kiến quốc
신화;thần thoại
황금알;trứng vàng
수도;thủ đô
수로;đường ống nước
한꺼번에;nhào vào 1 lần
부여하다;trao
부여받다;được nhận
통합하다;sáp nhập
합병하다;sáp nhập
물리치다;đuổi đi
후회스럽다;hối hận
알아차리다;nhận ra
목숨을 걸다;đánh đổi mạng sống
목숨을 잃다;mất mạng
탈출하다;tẩu thoát
침묵;sự im lặng
우주선을 발사하다;phóng tàu vũ trụ
달성하다;thành đạt
무지개;cầu vòng
주위;xung quanh, chu vi
취재하다;lấy tin tức
취재진;đội ngũ lấy thông tin
경계선;đường ranh giới
불상사;điều không lành
얼론계;giới ngôn luận
원활하다;dễ dàng
무너지다 = 붕괴하다;sụp đổ
종합 병원;bệnh viện đa khoa
약값내다;trả tiền thuốc
배추횐나비;bướm trắng cải thảo
박사;tiến sĩ
수정;thụ tinh
날개;cánh
내내;suốt
날다;bay
날개가 돋치다;như hổ mọc thêm cánh
날개을 펴다;giang cánh
명명하다;đặt tên
기로;ngã 3 đường
가로;chiều rộng
세로;chiều dài
비유하다;so sánh
장기적;tính trường kì
자금;tiền vốn
분산하다;phân tán
목돈;số tiền lớn
은퇴하다;nghỉ hưu
문방구 = 문구점;văn phòng phẩm
종요시하다;quan trọng
사대부 = 귀족;thượng lưu, quý tộc
복원하다;phục nguyên
추가하다;thêm
손상하다;gây hại
손상되다;bị tổn thương
원본;nguyên bản
스캐너;scaner
스캔하다;scan
프린터;printer
충족하다;sung túc, đầy đủ
만족하다;đầy đủ
첨단;hiện đại
수월하다;dễ dàng
사물;sự vật
더듬다;dò dẫm
다듬다;cắt gọt
숲의 통신망;mạng lưới thông tin rừng
지각;tri giác
별다르다;khác biệt
위기;nguy cơ
닿다;chạm đến
균사체;khuẩn ti thể
균류;nấm mốc
인명;nhân mệnh
처벌하다;phạt
가해 > 가해자;
피하 > 피해자;
미뤄지다;bị hoãn
여전히;như cũ
경각심;tâm thái cảnh giác
지배하다;chi phối
장신구;đồ trang sức
귀하다;quý
지위;địa vị
약화되다;trở nên tồi tệ
고귀하다;cao quý
강조하다;nhấn mạnh
액세서리;trang sức
체류;lưu trú
구비;trang bị
출장소;chi nhánh
유효 기간;thời gian sử dụng
연장하다;kéo dài
당시;đương thời
전하다;chuyển
일반인;người bth
색다르다;khác lạ
먹잇감;mồi
콜라겐;collagen
사냥하다;săn bắt
응원;cổ vũ
우려;lo lắng
설정하다;thiết lập, cài đặt
긋다;kẻ
화제가 되다;trở thành chủ đề hot
공유하다;share
소실하다;mất mát
부담하다;gánh chịu
비교적;tính so sánh
동네 의원;trạm xá
신뢰하다;tin tưởng
목적지;điểm đến
마음을 바꾸다;thay lòng đổi dạ
최종;cuối cùng
입장;lập trường
귀환하다;trở về
멀미를 하다;say xe
낡다;cũ
수리하다;sửa
수선하다;sửa
수정하다;sửa
대여하다;vay mượn
대출하다;vay mượn
마그네슘;magie
주되다;cốt lõi
굴리다;lăn
음질;chất lượng âm thanh
까다롭다;rắc rối, cầu kì
주기적;tính chu kì
열광적;tính cuồng nhiệt
소홀하다;lơ là , chểnh mãng
쫓다;đuổi
쫓기다;bị đuổi
취향;sở thích khuynh hướng
입시;thi tuyển
(명사)에 벗어나다;thoát khỏi N
발걸음을 밪추다;bắt nhịp với nhau
손자;con cháu
다급하다;nhanh chóng
응급실;phòng cấp cứu
허둥지둥;bấn loạn
퉁명스럽다;cộc lốc
재우다;ru ngủ
손등;mu bàn tay
가슴;ngực
홧김;đúng lúc nổi giận
내뱉다;thốt ra, phun ra
억울하다;uất ức
허전하다;trống trải
사로잡다;nắm bắt
손톱;móng tay
지판;bàn phím
나물;rau cỏ
뿌리채소;rau ăn gốc
잎채소;rau ăn lá
어우러지다;hoà hợp
번식;sinh sôi nảy nở
조상 = 선조;tổ tiên
무의식적;tính vô ý thức
쓴맛;vị đắng
착용하다;đeo
안전벨트를 띠다;thắt dây an toàn
핑계를 대다;viện cớ
섭취하다;hấp thụ
양도;chuyển nhượng
감상 = 감촉 = 감동;cảm động
괴이하다;kì quái
줄기;thân
줄기차다;dẻo dai
건전지;pin
건전성;tính lành mạnh
융통되다;được tài trợ
융통하다;cho vay
조작하다;làm dởm
빠져들다;rơi vào
빠져나오다/빠져나가다;thoát ra
찬바람을 일으키다;tỏ vẻ lạnh lùng
일다;gây ra
둘러보다;nhìn xung quanh
둘러앉다;ngồi xung quanh
소질;tố chất
액체;chát lỏng
고체;chất rắn
기체;chất khí
바람직하다;đúng đắng
미지근하다;ấm áp
어지럽다;chóng mặt
여유롭다;dư dả
지저분하다;bừa bộn
정전기;tĩnh điện
등록하다;đăng kí
하품하다;ngáp
널리;một cách rộng
더위가 덜하다;bớt nóng
올가을;mùa hè năm nay
단색;đơn sắc
상하다;bị thương
깔끔하다;gọn gàng
드디어;cuối cùng thì
들드다;ghé qua
찌푸리다;nhăn 
고충;sự khó khăn
숨다;giấu diếm
숨기다;che dấu
칼슘;canxi
길가;lề đường
널다;phơi
널어두다;phơi sẵn
안정시키다;làm cho ổn định
강을 보다;đi chợ
서둘러 돌어오다;quay về gấp
의견을 모이다;thu thập ý kiến
악보를 외우다;học thuộc bản nhạc
악보를 암기하다;học thuộc bản nhạc
곤란하다;khó khăn
소모되다;bị tiêu hao
내놓다;đặt ra
재사용하다;tái sd
욕구;khát khao
유충 ~ 애벌레;ấu trùng
인위적;tính nhân tạo
인도적;tính nhân đạo
융합하다;dung hợp
가령;giả sử nếu
갈망;khát vọng
개관;khai quan
강력하다;cường lực, vững mạnh
겨울철;mùa đông
곡;bản nhạc
곡물;lương thực
곡물자;người bán lương thực
관건;quan điểm, trọng tâm
규명하다;phân minh, làm rõ
넘어서다;băng qua, khắc phục
논리;luân lí
노력이 기울이다;dồn lực
누리다;tận hưởng
담수;nước ngọt
민물;nước ngọt
민물고기;cá nước ngọt
잠자리;con chuồn chuồn
장애물;chướng ngại vật
재심;tái thẩm định
저술하다;viết
제정하다;ban hành, chế định
첨단의료;y tế hiện đại
청중;thính giả
추구하다;theo đuổi
추진하다;thúc đẩy
촉진하다;thúc tiến
축적하다;tích luỹ
친근하다;thân cận
타협점;điểm thoả hiệp
타협안;phương án thoả hiệp
착각하다;nhầm lẫn
장기를 이식하다;cấy ghép nội tạng
면역력;năng lực miễn dịch
미생물;vi sinh vật
바르다;bôi
수면 지속;ngủ liên tục
돌무덤;mộ đá
청동기;đồ đồng
다투다;cãi nhau
독거 노인;người già neo đơn
위기에 처하다;rơi vào khủng hoảng
핵무기;vũ khí hạt nhân
전형적이다;mang tính điển hình
대체하다;thay thế
저해하다;gây trở ngại
방해하다;gây trở ngại
전용;chuyên dụng
조장하다;kích động
지구온난화;nóng lên toàn cầu
지양하다;tránh xa
직결되다;bị liên quan trực tiếp
차리다;dọn dẹp
차선;tuyến đường xe
생력하다;tóm lượt
아쉽다;tiếc nuối
근면;cần mẫn
구청;uỷ ban quận
녹화하다 ~ 촬영하다;quay phim
녹음;ghi âm
가뜩;vốn đã
거세다;mạnh mẽ
구별하다;phân biệt 
구분하다;phân chia
구역;khu vực
굴러가다;tiến triển
이토록;đến mức vậy
일대기;nhật kí đời người
나르다;chở, chuyển
냉각되다;được làm lạnh
네온사인;đèn neon
눈부시다;chói loá
동결;đông kết
문틈;khe cửa
반비례하다;tỉ lệ nghịch
장비례하다;tỉ lệ thuận
받아들이다;tiếp nhận
별의별;nhiều thứ đặc biệt
빈도;tần xuất
숙성되다;được trưởng thành
어김없이;y như rằng, không sai
얼리다;làm đông
업계;ngành công nghiệp
엇갈리다;nghiên, lệch
열광하다;cuồng nhiệt
열어젖히다;mở toang, đẩy tung
예산이 빠듯하다;kinh phí hạn hẹp
외치다;hét
위반하다;vi phạm
해석하다;giải thích
재해석하다;giải thích lại
저절로;tự động
전산;điện toán
조미료;gia vị
조연;diễn viên phụ
조입하다;đưa vào
주행;chủ hành
주연;diễn viên chính
검약;tiết kiệm
고난;khổ nạn
고지서;giấy báo
식수;nước uống
야외무대;sân khẩu ngoài trời
연수원;viện đào tạo
염원하다;khát khao
우선되다;được ưu tiên
유출하다;lộ ra
먹먹하다;khó chịu
간혹;đôi khi, thỉnh thoảng
개화하다;khai hoá, đổi mới
고무적;tính cổ vũ
고분;mộ cổ
고용인;người lao đọng
과장되다;được quản lý
광방위하다;rộng lớn bao la
구식;kiểu cũ
기대에 들뜨다;mong đợi
기발하다;lỗi lạc
기상이변;dị biến khí tượng
난해하다;khó hiểu
냉정하다 ~ 각박하다;lạnh nhạt
눈을 가리다;che mắt
다가가다;đến gần
돌을 딛다;đặt đá
동경;khát khao
마음이 홀가분하다;lòng nhẹ nhõm
막막하다;mờ mịt
매진하다;bán hết
멍하다;thẫn thờ
반감을 사게 되다;bị ác cảm
반문명;phản văn minh
범죄;phạm tội
벗겨지다;bị tháo ra
보전하다;bảo tồn
가슴이 먹먹하다;lòng khó chịu
간식하다;bảo quản
맥맥하다;nản lòng
비무장지대;khu vực phi quân sự
안전지대에서 벗어나다;khoát ra khỏi vùng an toàn
부적절하다 ~ 부적당하다;không tương xứng
부풀다;xù lông
보풀다;xù lông
사육되다;được nuôi
서명하다;kí tên
소장하다;nắm giữ
소리를 내지르다;hét
수분;độ ẩm
수용하다;tiếp nhận
시멘트;ximang
심오하다;uyên thâm
아열대 기후;khí hậu cận nhiệt đới
심문하다;thẩm vấn
안주하다;an cư
애호가 ~ 팬;fan
얻어맞다;nhận chỉ trích, bị ném đá
유래하다;bắt nguồn
의중;đáy lòng
이에;tiếp nối
자전거를 일으키다;đạp xe
절실하다;mãnh liệt
점유율;tỉ lệ chiếm hữu
정강이;cẳng chân
정품;chính phẩm
제작인;ng chế tác
중재자;trọng tài
지명;địa danh
지정하다;chỉ định
천적;thiên địch
청취자;ng xem đài
최적;tính thích hợp nhất
출시하다;xuất thị
충실히;1 cách trung thực
친속하다;thân thuộc
타이르다;khuyên bảo
폭넓다 ~ 드넓다;rộng lớn bao la
한결;hơn hẵn
한정;hạn định
함축하다;hàm xúc
희열;sự hân hoan
희열을 느끼다;cảm nhận niềm hân hoan
청중;thính giả
이상해지다;trở nên khác lạ
감수하다;chịu đựng
거래처;ng giao dịch
거치다;trải qua
건성;phiến phiến
경사;độ nghiên
경청하다;chú ý lắng nghe
계급;giai cấp
공약;công ước
교역;giao dịch
되찾다;tìm lại
무기력하다;không có sức lực
메세하다;chi tiết
미세구조;cấu trúc chi tiết
박람회;buổi triển lãm
박탈당하다;bị tước đoạt
배역;phân vai
벌리다;mở ra, tách ra
반칙을 주다;cho vi phạm
분비하다;bài tiết
분비량;lượng bài tiết
분실;thất lạc
비법;bí kiếp
사다리;cầu thang
성향;khuynh hướng
승용차;xe ô tô con
식물세밀화;
식별하다;phân biệt
실적;thành tích
어휘력;năng lực từ vựng
오류 = 오차;error
유리구슬;ngọc thuỷ tinh
이국적;tính ngoại quốc
육지;lục địa
이념;ý niệm
인도 = 유도;dẫn dắt
임시;tạm thời
임신하다;có bầu
전등;đèn điện
주되다;cốt lõi
지급하다;chi cấp
지형;địa hình
진단하다;chuẩn đoán
차단율;tỉ lệ ngăn chặn
진입하다 = 침입하다;xâm nhập
차도;đường cho xe
책정하다 = 확정하다;xác định
최소한;tối thiểu
측면;khía cạnh
탄수화물;cacbonhydrat
피해를 입히다;nhận thiệt hại
합쳐지다;được hợp lại
합치다;hợp lại
혼란;hỗn loạn
행사장;chổ tổ chức sk
확대되다;được khếch đại
활발히;hoạt bát
가뭄;hạn hán
강도;cường độ
개울;con suối
곤충;côn trùng
관중;quần chúng
곧어지다;trở nên cứng rắn
기간 단축;rút ngắn thời gian
꺼리다;ngại
다이아몬드;kim cương
단축;rút ngắn
단합;đoàn hợp
달리하다;khác đi
돌발;đột phá
두루;đồng đều
뒤틀림;bị lỏng
뒤틀리다;bị soắn lại
면밀히;một cách tỉ mỉ
모래밭;ruộng cát
목격되다;được chứng kiến
목재;vật liệu gỗ
무료 = 무상;free
무중력;vô trọng lực
무한하다;vô hạn
바람을 쐬다;hóng gió
분쟁;phân tranh
불순물;tạp chất
사용료;phí sử dụng
사죄하다;thứ tội
사포닌;saphonin
새끼;con non
생계형 범죄;tội phạm hình sự
섭외하다;ngoại giao
소송;tố tụng
수단;phương tiện
수액;mủ cây
수칙 ~ 규정;quy định
시민;ng dân
씹다;nhai
압축하다;nén lại
야구단;đoàn bóng chày
약초;thảo dược
오랑우탄;con đười ươi
오작동;lỗi chạy
운반하다;vận chyển
워낙;vỗn dĩ
원곡;ca khúc gốc
원작가;tác giả gốc
응원가;ng cổ cũ
이점;lợi điểm
작곡가;nhạc sĩ
자연재해;thiên tai
작사가;nhạc sĩ
잠재우다;ru ngủ
제조하다;chế tạo
제철;đúng mùa
즙;nc cốt
지면;mặt đất
지불하다;chi trả
진통제;thuốc đau đầu
짐작하다;dự đoán
창고;kho
처벌하다;phạt
간소화하다;đơn giản hoá
개업식;lễ khai nghiệp
경도;kinh độ
철저히;một cách kĩ lưỡng
절차;thủ tục
출고하다;xuất kho
칼륨;kali
콘크리트; concrete
통나무;khúc gỗ
투명하다;trong xuốt
편집하다;biên tập
호박;bí đỏ
하자 ~ 오류;lỗi 
합하다;hợp
휘어지다;cong veo
흘러나오다;chảy ra
흠집;vết sẹo
단말기;thiết bị đầu cuối
밀어내다;đẩy ra
본사;trụ sở chính
붙잡다;giữ chặt
빨판;râu, tua
강점;điểm mạnh
눈살을 찌푸리다;nhăn mặt
시야;ánh nhìn
신성장;tăng trưởng mới
열차;tàu lửa
저하다;
정반대;sự trái ngược hoàn toàn
집어내다;moi ra
집어먹다;tước đoạt, chiếm đoạt, biển thủ, sợ sêt
철도;đường sắt
체내;trong cơ thể
계정;tài khoản
파편 ~ 산산조각;mảnh vụn
정래성;tính tương lai
정서;tình cảm
중점;trọng điểm
초점;tiêu điểm
고무;cao su
고지방;cao chất béo
과다하다;quá đà
급변하다;thay đổi nhanh chóng
기원하다;mong ước
능숙하다;thành thạo
달라붙다;dán chặt
도대체;tóm lại
돌파구;bước đột phá
두려워하다;sợ
뒤떨어지다;rớt lại phía sau
딴 데 = 다른 데;nơi khác
막대;cây gậy
만화 인물;nhân vật truyện tranh
메디치;medici
바느질하다;may vá
보자기;tấm vải gói·
성인병;bệnh người lớn
성질;tính chất, tính cánh
숨차다;thở hỗn hểnh
스케치하다;phác bảo
식사하다;ăn uống
실용성;tính thực dụng
심지어;thậm chí
심혈관 질환;bệnh tim huyết quản
쏘다;bắng
명단;danh sách
쏟아지다;bị đổ
약품;dược phẩm
얄팍하다;mỏng dính
언행;hành động và ngôn ngữ
업체;doanh nghiệp
열악하다;khó nhăn
우화;trái phải
유발하다;gây ra
유전자;gen di truyền
이래;trước nay
이모티콘;emotionj
일사불란하다;chỉnh tề , ngăn nắp
자리매김하다;nắm giữ vị trí
"자유분방하다;tự do tự tại
자유 (自由 - Tự do)
분방 (奔放 - Bôn phóng)"
적히다;được viết
전자기기;máy điện tử
정성스럽다 = 마음껏;hết lòng
조화롭다;điều hoà
진정으로;thật lòng
질병 ~ 질환 ~ 병환;bệnh
집안일;việc nhà
참되다;thật thà, đúng đắng
활쏘기;môn bắng cung
흥미진진하다;đầy hứng thú
4차 산업혁명;cách mạng CM lần 4
개방적;tính khai phóng
건립;kiến lập
겨우;một cách khó khăn / vừa mới
경사지다;nghiên , dốc
경영;kinh doanh
공예;công nghệ
공정하다 ~ 공평하다;công bằng
구간;đoạn, khúc
구리;đồng
곡가대표;đại biểu quốc gia
기록문;bài thu hoạch
기록연구사;nơi nghiên cứu ghi chép
깊숙하다;xa xôi, hẻo lánh
내리막;con dốc
농작물;nông sản
단단하다;rắn chắc, khoẻ rắn
마지못하다;không còn cách nào khác
마찰;ma sát
묵다 = 머물다;để lại
문서;tư liệu
밀려나다;đuổi ra
발전소;nhà máy phát điện
법률;pháp luật
보험사;cty bảo hiểm
부여하다;trao tặng
비도덕적이다;mang tính phi đạo đức
빚어지다;được nặng, được ủ, xảy ra
빚어내다;làm xảy ra, gây ra, nặng, ủ
사유화되다;bị tư hữu hoá
선발하다;tuyển chọn
선출하다;chọn ra
설계하다;thiết kế
승차하다;lên xe
역설적;tính đảo ngược
반사;phản xạ
염려;lo lắng
관광하다;tham quan
육성하다;nuôi dưỡng
의료원;viện y tế
이기심;lòng ích kỉ
익명이력서;lí lịch nặc danh
인간문화재;tài sản văn hoá nhân gian
인종적이다;mang tính nhân chủng con ng
인증하다;chứng nhận, công nhận
일깨우다;làm cho tỉnh ra
일원;một thành viên
자상하다;tận tòi, cụ thể
장치;thiết bị
일대일;1 vs 1
자상하다;cụ thể, tận tòi
재활;tái hoạt dụng
정차하다;xuống xe
승차하다;lên xe
제자;đệ tử
지능;trí năng
지봉;mái nhà
차리다;dọn
창출하다;sáng tạo
책임을 면하다;chối bỏ trách nhiệm
축산;sự chăn nuôi
출강하다;đi giảng
친밀도;độ thân mật
태양광;ánh sáng mặt trời
판;bản
합류하다;kết hợp , sáp nhập
해설하다;giải thích
화산;núi lửa
활약;sự hoạt động tích cực
향상되다;được nâng cao
흘려보내다;trải qua
가전;gia truyền, đồ điện
거시적;tầm vĩ mô
경쾌하다;nhẹ nhàng, thoải mái
덧 + (동사);chồng thêm 1 lớp vào V
고가;cao giá
고독력;năng lực cô đơn
괘씸하다;chán ghéc, phẫn nộ
굵어지다;trở nên to
논란;bàn tán
다만;chỉ
덧붙이다;dán thêmn
덧나다;xấu đi
덧칠하다;sơn thêm
드론;drone
말을 건네다;trao lời
병행되다;được thực hiện //
보태다;sổ sung, góp thêm
본질;bản chất
세부적;tính chi tiết
산봉우리 = 산 정상;đỉnh núi
소박하다;giản dị
수납;thu nạp
얽매이다;bị trói buộc
엮다;đan
예컨대;chẳng hạn như
외관;ngoại quan, bề ngoài
응시하다;ứng tuyển
잠잠하다;yên ắng, lặng lặng
적대심;lòng đối địch
좌절하다;nản lòng, thối chí
짤막하다;hơi ngắn
창밖;ngoài cửa sổ
체감하다;cảm nhận của cơ thể
총동원하다;tổng động viên
탄식;sự thở dài
파견하다;phái cử
포착하다 ~ 파악하다 ~ 장악하다;nắm bắt
피우다;châm lửa
희귀식물;sv quý hiếm
희끄무레하다;mờ mịt, trắng đục
희망에 차다;đầy hi vọng
열매가 맺다;đơm hoa
간과하다;bỏ qua xem thường
건성;qua loa
대충하다;qua loa
계열사;cty con
계절별;theo mùa
기인하다 ~ 비롯하다;bắt nguồn
남부럽다;ghen tị vs ng khác
단점을 지다;có khyết điểm
만료되다;được mãn hạn
몸집;tầm vóc
무료함을 느끼다;cảm nhận được chán
무료하다 ~ 지루하다;chán 
미식가;ng xành ăn
발을 빼다;rút chân ra
변화시키다;làm cho thay đổi
보수주의;chủ nghĩa bảo thủ
부담감을 벗어나다;thoát khỏi cảm giác gánh nặng
분리하다;phân loại
비판;phê phán
사소하다;nhỏ
산지;vùng núi
선두;tiên phong
선점하다;chiếm trước
소외시키다;khiến cho xa lánh
소홀하다;chểnh lãng
유일하다;duy nhất
윤택하다;đầy đủ, xung túc
의사 결정;quyết định 
의심스럽다;nghi ngờ
입시;thi tuyển
접어들다;
접어놓다;
접어넣다;
접어주다;
쪼개다;chẻ
